#,報告者名,顧客名,日付(月－日ー年),時間（24時間表記　時：分）,相手先担当者,件名,報告本文,結果,状況,取り扱い,次回予定日,Do,Act,代理記入者名
#id,user_name,client_name,date,time,charge_person,title,report,result,state,treatment,next_date,project_do,project_act,agent_name
,佐野 美織,琉球新報開発,5-13-2016,,山城,ＱＭ,今年度は、６月開講、９月、１２月開講の３本。定員は各２６名。,継続,0,,,報告,電話,
,佐野 美織,ライフジュニアカレッジ,5-11-2016,,当銘,Ｂアプリ,受注確認。常勤ではなくなったため不在。ｏｆｆｉｃｅ担当の先生に聞いて折り返しくれるそう。,継続,0,,,報告,電話,
,佐野 美織,ライフジュニアカレッジ,5-11-2016,,ﾄｵﾘﾔﾏ,Ｂアプリ,留学する学生が増えたことにより、海外でも通用する資格取得の授業内容に変更したそう。今後はｏｆｆｉｃｅやビジネス系は又吉進先生が担当される。,継続,0,,,報告,電話,
,佐野 美織,日経就職でき～る,5-11-2016,,稲福,Ｂアプリ,企業からの委託での社印研修で、Ｂアプリ採用決定。対象約１５名。７月の研修のため、６月末の注文となる。ＰＰ、ＡＤは見送り、ＷＤ、ＥＬ中心。Ｃｅ検定も受験予定。,継続,0,,,報告,電話,
,佐野 美織,東京衛生学園専門学校,5-16-2016,,森島,理学Ｗｅｂトレ,担当の鈴木先生には注文するように言っている。２年、３年は決定。３００千円。１年生は検討中。,継続,0,,,報告,電話,
,佐野 美織,東京衛生学園専門学校,6-1-2016,,森島,理学Ｗｅｂトレ,１週間～１０日以内には鈴木先生から連絡くれるとのこと。ちょっと確認がある、とのこと…（゜－゜）大丈夫かなあ？,継続,0,,,報告,電話,
,佐野 美織,駿台トラベル＆ホテル専門学校,4-1-2016,,塚原,ナビ１,小林先生から引き継いだ。実施は４月末、注文は４月１１日以降。フォームをＦＡＸにて送付。,継続,0,,,報告,電話,
,佐野 美織,駿台外語＆ビジネス専門学校,4-6-2016,,井上,ナビ１,見積書と資料送付済。実施の方向で上申中。来週中には注文できそうとのこと。実施のタイミングは検討中。井上先生から連絡くれる。,継続,0,,,報告,電話,
,佐野 美織,東京商科・法科学院専門学校,4-19-2016,,森田,就職系,日本語動画は、今年は１年生の留学生全員に買わせた。来年は本当にレベルの低い一部になる可能性あり。２年生も、１年日本にはいるものの、まだマナーが身に付いていないので、よい内容であれば３０部程度追加購入の可能性もあり。テキストとＤＶＤが１対１なのはちょっと…。インタビューも打診。ナビを提案するものの、クレペリンを年３回ほどやっている。,継続,0,,,報告,訪問,
,佐野 美織,東京商科・法科学院専門学校,4-22-2016,,東郷,筆記,今年は筆記不採用。いまは就職系の担当外れているそう。現担当は、教材を使用していない模様。,継続,0,,,報告,電話,
,佐野 美織,世田谷福祉専門学校,5-24-2016,,堀口,ＵＳＢ,ＵＳＢ等到着確認ＯＫ。名前もＯＫ。漢字１００選は今年は遠慮します、、とのこと。担当は堀口先生ではなく、詳細は不明。,継続,0,,,報告,電話,
,佐野 美織,東京ＹＭＣＡ医療福祉専門学校,4-11-2016,,ぬくい,作業Ｗｅｂトレ,４月８日問い合わせあり。３年生の担当。希望制実施。２９名対象で現在希望者１名。人数決まり次第連絡くる。１０名未満でも割り引くと伝える。（ＴＥＬ：０４２－５７７－５５２１）,継続,0,,,報告,電話,
,佐野 美織,東京医療秘書福祉専門学校,4-15-2016,,笹浪(ｻｻﾅﾐ),筆記,Ｗｅｂトレシリアルがみつからないとのことで再送。,継続,0,,,報告,電話,
,佐野 美織,学校法人三幸学園教育開発部,4-19-2016,,松本,ナビ１、ＳＡ,問合せあり、訪問。今年の春できたばかりの部署で、教科書というよりは学校全体で使える教材を選定する。性格診断は他社のものも含め検討中。ナビ１、ＳＡの帳票を紹介し、活用事例も案内。,継続,0,,,報告,訪問,
,佐野 美織,学校法人三幸学園教育開発部,4-20-2016,,松本,ナビ１、ＳＡ,モニター希望あり。注文書送付。,継続,0,,,報告,電話,
,佐野 美織,学校法人三幸学園教育開発部,4-20-2016,,松本,ナビ１、ＳＡ,学校のほうでスケジュール調整中。Ｇ．Ｗ．明けくらいになりそう。,継続,0,,,報告,電話,
,佐野 美織,学校法人三幸学園教育開発部,5-10-2016,,松本,ナビ１、ＳＡ,ＳＡモニター申込あり。ＴＥＬにてナビ１も提案したものの、松本先生が昨年見ていた学生の様子と、ＳＡの結果を照らし合わせたい、ということと、時間の制約もあるためＳＡのみ。対象は２年生。,継続,0,,,報告,メール,
,佐野 美織,日本電子専門学校,4-26-2016,,柳橋,情処,石崎部長ＴＥＬ。Ｃｅ活用の午前免除を検討中。,継続,0,,,報告,電話,
,佐野 美織,東京スクールオブビジネス,5-9-2016,,ｱｲｻﾞﾜ,ＩＬＱＭ,学生個人での購入について問い合わせ。団体割引等を案内した。いつもは事務局から注文くるが、アイザワ先生が実担当ぽい！,継続,0,,,報告,電話,
,佐野 美織,目白大学経済学部経済学科,5-10-2016,,池田汐里,会計Ｇ,会計Ｇ新規採用。秋の講義のため、テキストは秋。人数未定。選択制。（０３－５９９６－３２４１経済学科直通）,継続,0,,,報告,電話,
,佐野 美織,中央美術学園,5-11-2016,,兼田,ＰＳＱＭ,受注確認。兼田様退職。今年は注文予定なし。,継続,0,,,報告,電話,
,佐野 美織,ドコモ・サポート株式会社,6-1-2016,,ﾀｶﾊｼ,ウェブデザ,古舘様は退職。業務企画部が８Ｆから６Ｆ，に移り、ＴＥＬも変更となった。０３－６２６８－８４１６。後任はタカハシ様（女）。今年上期に関してはまとめての購入はない。下期は不明。,継続,0,,,報告,電話,
,佐野 美織,東京モード学園,6-2-2016,,ﾀｷｶﾞｻｷ,美容師Ｗｅｂトレ,山口様ではなく、タキガサキ様がご担当。注文方法について問い合わせ。今年は７１名。注文待ち。,継続,0,,,報告,電話,
,佐野 美織,長野救命医療専門学校,6-2-2016,,中村,公務員,公開摸試問い合わせ。希望制で、第２回、第３回を各１７部程度購入予定。第１回は実習から戻ってきたばかりで厳しい。第２回を７月１３日に実施したい。１２日までに納品希望。⇒長谷川さんに問い合わせたところ、ＯＫ。,継続,0,,,報告,電話,
,佐野 美織,清泉女学院大学,4-1-2016,,渋沢,ＨＴＭＬＱＭ,生協渋沢様。ＨＴＭＬＱＭは池田ユリ先生とナ・カンジュン先生になる。カンジュン先生分で見本手配。,継続,0,,,報告,電話,
,佐野 美織,札幌医療秘書福祉専門学校,5-23-2016,,根井(ﾈﾉｲ),ナビ１,欠席者約１０名分、５月中に実施し返送する。あちこちのクラスに点在しているので、クラス帳票は不要。,継続,0,,,報告,電話,
,佐野 美織,帯広コア専門学校,5-10-2016,,池田,秘書ハン,注文あり。秘書の担当は池田先生。,継続,0,,,報告,FAX,
,佐野 美織,井上　和則,5-6-2016,,,ＷＤ,工藤が対応。専門学校やその他で講師をしている。今後団体注文くる可能性あり。,継続,0,,,報告,電話,
,佐野 美織,井上　和則,5-9-2016,,,情処,帯広コアの非常勤だった！コンピュータ概論の正誤について指摘。０９０－８８９５－４８２３、ｉｎｆｏ＠ｃｏｍｉｎｏ．ｊｐ,継続,0,,,報告,電話,
,佐野 美織,仙台青葉学院短期大学,4-26-2016,,青山,ＨＬ,ビジネスキャリア学科所属だが、観光でホテル関係の講義を担当するそう。次年度検討。,継続,0,,,報告,電話,
,佐野 美織,仙台青葉学院短期大学,5-30-2016,,今井,面対,７月８月頃。面接対策ＤＶＤをレンタル、テキスト見本送付。こちらから連絡する。,継続,0,,,報告,訪問,
,佐野 美織,仙台青葉学院短期大学,5-30-2016,,小形,ナビ１,後期からブライダルの授業あり。菊地先生が担当なので、見本送るとよいかも。,継続,0,,,報告,訪問,
,佐野 美織,東北保健医療専門学校,5-26-2016,,佐藤美加,リハＷｅｂトレ,#VALUE!,継続,0,,,報告,訪問,
