#,報告者名,顧客名,日付(月－日ー年),時間（24時間表記　時：分）,相手先担当者,件名,報告本文,結果,状況,取り扱い,次回予定日,Do,Act,代理記入者名
#id,user_name,client_name,date,time,charge_person,title,report,result,state,treatment,next_date,project_do,project_act,agent_name
,佐藤 栄治,群馬ブライダルビジネス専門学校,8-27-2015,,津久井,ホテルテキスト,ホテルテキスト見本依頼。２年後に向け検討,フォロー継続,良い（順調）,見本送付,,報告,電話,
,佐藤 栄治,アーツカレッジヨコハマ,8-27-2015,,安藤,漢字１００選,漢字１００選見本依頼。今後の講座に検討,フォロー継続,良い（順調）,見本送付,,報告,メール,
,佐藤 栄治,立志舎　横浜,8-28-2015,,柏葉,ＦＥ模試,ＦＥ模試第１回へ変更,採用,良い（順調）,,,報告,電話,
,佐藤 栄治,玉川大学,8-28-2015,,白崎,就職教材,注文来ず。注文書手作りにて手配,採用,悪い（不調）,,,報告,電話,
,佐藤 栄治,福井大原,8-28-2015,,齋藤,ｏｆｆｉｃｅ,基礎学習テキスト刈り取り,採用,良い（順調）,,,報告,電話,
,佐藤 栄治,葵メディカルアカデミー,8-31-2015,,中川,リハｗｅｂトレ,リハ資料送付。Ｗｅｂ導入しておらず多少興味あり,フォロー継続,良い（順調）,"資料送付,パンフ送付",,報告,電話,
,佐藤 栄治,北陸ビジネス福祉専門学校,9-1-2015,,眼目,就職筆記,就職筆記ＦＡＸ返信あり,フォロー継続,良い（順調）,見本送付,9-7-2015,報告,電話,
,佐藤 栄治,富山デザインビューティー専門学校,9-1-2015,,木村,就職筆記,就職筆記ＦＡＸ返信あり,フォロー継続,良い（順調）,見本送付,9-7-2015,報告,電話,
,佐藤 栄治,筑波保育医療専門学校,9-2-2015,,石井,就職筆記,就職筆記ＦＡＸ返信あり,フォロー継続,良い（順調）,見本送付,9-7-2015,報告,電話,
,佐藤 栄治,前橋医療福祉専門学校,9-2-2015,,浜口,リハｗｅｂトレ,Ｗｅｂトレ採用検討中（他社も含め）,フォロー継続,良い（順調）,,,報告,電話,
,佐藤 栄治,米山ファッション・ビジネス専門学校,9-2-2015,,内田,日本語,１部検討用で購入,フォロー継続,良い（順調）,,9-14-2015,報告,電話,
,佐藤 栄治,アーツカレッジヨコハマ,9-4-2015,,安藤,漢字１００選,書籍到着フォロー、前向き検討。訪問時クロージング,フォロー継続,良い（順調）,,9-18-2015,報告,メール,
