#,報告者名,顧客名,日付(月－日ー年),時間（24時間表記　時：分）,相手先担当者,件名,報告本文,結果,状況,取り扱い,次回予定日,Do,Act,代理記入者名
#id,user_name,client_name,date,time,charge_person,title,report,result,state,treatment,next_date,project_do,project_act,agent_name
,宮田 亮,熊本ＹＭＣＡ学院,8-27-2015,,中尾,活用事例,ナビ１活用事例回収。有効に使ってくれている。ＴＥＬにてお礼済み。,収束,良い（順調）,,,報告,メール,
,宮田 亮,静岡県東部総合美容専門学校,8-28-2015,,岡山,活用事例,美容師Ｗｅｂ活用事例回収。非常に気に入ってくれている。ＴＥＬにてお礼済み。,収束,良い（順調）,,,報告,メール,
,宮田 亮,浜松啓陽高校,8-31-2015,,石川,Ｂアプリ教材,注文書籍、サンプル書籍到着の連絡あり。今後部活の生徒がサーティファイ試験受験を検討。,収束,良い（順調）,,,報告,メール,
,宮田 亮,慈恵福祉保育専門学校,9-7-2015,,岩瀬,公務員,訪問後のお礼。公務員講義編　サンプル送付。,フォロー継続,良い（順調）,見本送付,9-14-2015,報告,メール,
,宮田 亮,トライデントコンピュータ専門学校,9-7-2015,,横田,ＦＥ模試,ＦＥ模試（第２回）サンプル送付。,フォロー継続,良い（順調）,見本送付,9-14-2015,報告,メール,
,宮田 亮,浜松情報専門学校,9-11-2015,,佐藤,ＦＥ　Ｗｅｂ,ＦＥ　Ｗｅｂ見積り提示。,フォロー継続,良い（順調）,,9-24-2015,報告,メール,
,宮田 亮,浜松情報専門学校,9-24-2015,,佐藤,ＦＥ　Ｗｅｂ,ＦＥ　Ｗｅｂ　３３部受注。＠６００円。利用期限１２月まで。,受注,良い（順調）,,,報告,メール,
,宮田 亮,オフィスホッタ,9-25-2015,,堀田,就職系,非常勤講師。マナーや就職指導を担当。,フォロー継続,良い（順調）,パンフ送付,,報告,メール,
,宮田 亮,スケールフリーネットワーク,9-28-2015,,都島,Ｂアプリ,問題集受注。ＱＭをメールで紹介。カタログ送付。,フォロー継続,良い（順調）,パンフ送付,10-5-2015,報告,メール,
,宮田 亮,ティムステクノロジー,10-3-2015,,龍野,就職系,就職系教材のサンプル依頼あり。,フォロー継続,良い（順調）,見本送付,10-13-2015,報告,メール,
,宮田 亮,鹿児島県理容美容専門学校,10-3-2015,,植田,Ｗｅｂトレ,理容師Ｗｅｂ体験版送付。,フォロー継続,良い（順調）,見本送付,10-5-2015,報告,メール,
,宮田 亮,高知開成専門学校,10-6-2015,,三本・河野,ｍｙトレ,ｍｙトレ体験版送付（看護・情処）,フォロー継続,良い（順調）,,10-7-2015,報告,メール,
,宮田 亮,Ｙグローリー,10-9-2015,,近藤,ケアコミ,資料到着の連絡あり。,収束,良い（順調）,,,報告,メール,
